#auto generated file!
12.0;46;39;42;37;38;41;32;27;24;42;27;36;30;39
18.0;46;39;44;36;38;44;31;26;24;41;25;35;31;40
24.0;48;41;46;35;41;41;33;25;22;38;25;36;30;39
30.0;50;40;47;35;43;41;28;26;23;36;25;38;30;38
36.0;52;40;49;36;44;42;26;26;22;34;25;38;28;38
42.0;54;40;49;34;43;40;30;26;24;34;26;38;25;37
48.0;54;42;50;34;43;38;31;26;25;38;26;37;23;33
54.0;54;42;51;35;46;36;32;25;25;37;27;35;22;33
60.0;58;44;51;35;44;35;34;24;23;35;26;36;22;33
66.0;59;44;50;34;44;37;32;26;23;34;27;37;20;33
72.0;59;43;49;35;45;39;35;26;19;31;29;36;22;32
78.0;60;43;48;35;46;39;35;25;20;33;28;34;21;33
84.0;60;42;48;36;48;40;34;26;20;32;29;35;19;31
90.0;61;42;48;35;50;39;32;26;19;33;28;37;20;30
96.0;60;42;49;35;52;39;29;28;19;35;26;36;19;31
102.0;61;43;47;36;53;39;29;28;23;35;27;33;18;28
108.0;59;43;48;36;52;38;30;29;22;36;26;31;21;29
114.0;59;45;48;36;52;39;30;29;21;36;26;31;21;27
120.0;60;46;50;32;50;42;29;29;21;34;27;30;23;27
126.0;59;47;48;32;51;42;32;30;22;31;30;27;23;26
132.0;59;47;49;33;51;42;35;31;20;32;27;25;24;25
138.0;59;46;50;33;50;43;38;32;20;30;25;23;23;28
144.0;59;47;49;34;51;44;39;31;20;29;25;23;22;27
150.0;60;47;47;34;49;43;44;29;21;30;27;24;18;27
156.0;59;48;47;35;48;41;45;27;23;33;27;22;20;25
162.0;61;48;47;35;48;43;45;25;22;31;25;23;20;27
168.0;63;48;50;34;49;43;43;23;21;31;25;23;21;26
174.0;63;50;51;33;51;42;42;20;22;30;28;24;20;24
180.0;64;49;49;36;51;43;41;21;20;32;26;23;22;23
186.0;63;48;48;38;50;42;42;21;20;34;25;22;24;23
192.0;64;49;48;37;48;41;44;18;22;34;25;22;24;24
198.0;66;50;49;37;50;37;44;17;20;34;27;25;22;22
204.0;65;52;50;36;52;38;42;19;21;32;25;27;20;21
210.0;65;52;48;39;53;36;43;21;18;31;25;28;20;21
216.0;64;51;50;41;53;35;39;24;18;28;25;31;20;21
222.0;63;54;48;43;52;33;40;25;19;27;24;29;22;21
228.0;62;55;49;41;52;31;41;25;18;28;27;29;21;21
234.0;62;54;51;41;52;30;40;25;19;27;27;28;22;22
240.0;61;53;51;41;52;30;37;30;17;30;23;30;22;23
246.0;62;53;51;40;53;30;35;28;16;29;24;32;23;24
252.0;62;53;52;40;53;31;34;25;16;30;23;33;23;25
258.0;62;52;53;41;53;32;32;25;16;29;24;34;22;25
264.0;61;52;52;41;53;32;34;26;16;28;24;34;22;25
270.0;64;52;50;42;57;33;33;25;16;26;21;36;19;26
276.0;64;53;50;42;56;32;32;27;16;27;21;35;20;25
282.0;65;51;53;41;54;33;33;27;16;25;20;36;19;27
288.0;64;49;53;45;55;32;32;27;16;28;18;34;20;27
294.0;64;49;53;43;55;34;33;27;14;29;21;31;21;26
